Price,Locality,Type_of_Property,Subtype_of_Property,State_of_the_Building,Number_of_Rooms,Fully_Equipped_Kitchen,Province,Municipality,Price_Group,Price_Group_Per_Region
110000.0,5000,APARTMENT,APARTMENT,TO_BE_DONE_UP,1.0,False,Namen,Namur,100000-200000,Namen_100000-200000
309500.0,2060,APARTMENT,APARTMENT,AS_NEW,2.0,False,Antwerpen,Antwerpen,200000-350000,Antwerpen_200000-350000
401700.0,8790,HOUSE,HOUSE,GOOD,3.0,False,West-Vlaanderen,Waregem,350000-550000,West-Vlaanderen_350000-550000
245000.0,2830,APARTMENT,GROUND_FLOOR,AS_NEW,1.0,False,Antwerpen,Willebroek,200000-350000,Antwerpen_200000-350000
575000.0,9660,HOUSE,HOUSE,AS_NEW,3.0,True,Oost-Vlaanderen,Zegelsem,550000-750000,Oost-Vlaanderen_550000-750000
335000.0,8400,APARTMENT,GROUND_FLOOR,JUST_RENOVATED,3.0,False,West-Vlaanderen,Zandvoorde,200000-350000,West-Vlaanderen_200000-350000
355000.0,6792,HOUSE,HOUSE,JUST_RENOVATED,4.0,False,Luxemburg,Rachecourt,350000-550000,Luxemburg_350000-550000
245000.0,2600,APARTMENT,GROUND_FLOOR,TO_RENOVATE,1.0,False,Antwerpen,Berchem,200000-350000,Antwerpen_200000-350000
219500.0,1080,APARTMENT,APARTMENT,AS_NEW,1.0,True,Brussel,Sint-jans-molenbeek,200000-350000,Brussel_200000-350000
350000.0,7330,HOUSE,HOUSE,AS_NEW,3.0,True,Henegouwen,Saint-ghislain,200000-350000,Henegouwen_200000-350000
386000.0,9300,APARTMENT,APARTMENT,GOOD,3.0,False,Oost-Vlaanderen,Aalst,350000-550000,Oost-Vlaanderen_350000-550000
375000.0,1050,APARTMENT,APARTMENT,AS_NEW,2.0,True,Brussel,Elsene,350000-550000,Brussel_350000-550000
160000.0,4420,HOUSE,HOUSE,GOOD,3.0,False,Luik,Tilleur,100000-200000,Luik_100000-200000
409000.0,9160,HOUSE,MIXED_USE_BUILDING,AS_NEW,2.0,False,Oost-Vlaanderen,Lokeren,350000-550000,Oost-Vlaanderen_350000-550000
380000.0,8460,HOUSE,HOUSE,GOOD,3.0,False,West-Vlaanderen,Westkerke,350000-550000,West-Vlaanderen_350000-550000
397000.0,8660,APARTMENT,APARTMENT,JUST_RENOVATED,1.0,True,West-Vlaanderen,De Panne,350000-550000,West-Vlaanderen_350000-550000
178000.0,1502,HOUSE,HOUSE,TO_RENOVATE,2.0,False,Vlaams-Brabant,Lembeek,100000-200000,Vlaams-Brabant_100000-200000
460000.0,1000,APARTMENT,APARTMENT,AS_NEW,2.0,True,Brussel,Brussel,350000-550000,Brussel_350000-550000
144800.0,8370,APARTMENT,APARTMENT,TO_BE_DONE_UP,2.0,True,West-Vlaanderen,Uitkerke,100000-200000,West-Vlaanderen_100000-200000
175000.0,4480,HOUSE,HOUSE,GOOD,3.0,False,Luik,Hermalle-Sous-Huy,100000-200000,Luik_100000-200000
387500.0,3590,HOUSE,HOUSE,GOOD,3.0,False,Limburg,Diepenbeek,350000-550000,Limburg_350000-550000
189000.0,4032,HOUSE,HOUSE,GOOD,2.0,False,Luik,Chênee,100000-200000,Luik_100000-200000
465000.0,4987,HOUSE,HOUSE,AS_NEW,4.0,False,Luik,Stoumont,350000-550000,Luik_350000-550000
146000.0,5580,HOUSE,HOUSE,TO_BE_DONE_UP,2.0,False,Namen,Wavreille,100000-200000,Namen_100000-200000
285000.0,8301,APARTMENT,APARTMENT,TO_RESTORE,2.0,False,West-Vlaanderen,Ramskapelle,200000-350000,West-Vlaanderen_200000-350000
180000.0,4432,HOUSE,HOUSE,TO_RENOVATE,4.0,False,Luik,Xhendremael,100000-200000,Luik_100000-200000
449000.0,2940,HOUSE,HOUSE,GOOD,3.0,False,Antwerpen,Stabroek,350000-550000,Antwerpen_350000-550000
700000.0,1160,APARTMENT,GROUND_FLOOR,AS_NEW,3.0,True,Brussel,Oudergem,550000-750000,Brussel_550000-750000
199000.0,2300,APARTMENT,APARTMENT,GOOD,2.0,False,Antwerpen,Turnhout,100000-200000,Antwerpen_100000-200000
295000.0,1030,APARTMENT,APARTMENT,AS_NEW,2.0,True,Brussel,Schaarbeek,200000-350000,Brussel_200000-350000
239000.0,9600,HOUSE,HOUSE,JUST_RENOVATED,3.0,False,Oost-Vlaanderen,Ronse,200000-350000,Oost-Vlaanderen_200000-350000
589000.0,1410,HOUSE,HOUSE,AS_NEW,4.0,False,Waals-Brabant,Waterloo,550000-750000,Waals-Brabant_550000-750000
460000.0,6741,HOUSE,HOUSE,GOOD,3.0,False,Luxemburg,Vance,350000-550000,Luxemburg_350000-550000
598000.0,3000,APARTMENT,APARTMENT,AS_NEW,2.0,False,Vlaams-Brabant,Leuven,550000-750000,Vlaams-Brabant_550000-750000
220000.0,1651,HOUSE,HOUSE,TO_BE_DONE_UP,2.0,False,Vlaams-Brabant,Lot,200000-350000,Vlaams-Brabant_200000-350000
165000.0,8430,APARTMENT,APARTMENT,TO_RENOVATE,1.0,False,West-Vlaanderen,Middelkerke,100000-200000,West-Vlaanderen_100000-200000
365000.0,8470,APARTMENT,APARTMENT,GOOD,3.0,True,West-Vlaanderen,Zevekote,350000-550000,West-Vlaanderen_350000-550000
220000.0,6210,APARTMENT,APARTMENT,AS_NEW,1.0,False,Henegouwen,Wayaux,200000-350000,Henegouwen_200000-350000
320000.0,8020,HOUSE,HOUSE,TO_RENOVATE,3.0,False,West-Vlaanderen,Waardamme,200000-350000,West-Vlaanderen_200000-350000
215000.0,8870,HOUSE,HOUSE,GOOD,4.0,False,West-Vlaanderen,Kachtem,200000-350000,West-Vlaanderen_200000-350000
