Price,Locality,Type_of_Property,Subtype_of_Property,State_of_the_Building,Number_of_Rooms,Living_Area,Fully_Equipped_Kitchen,Terrace,Garden,Surface_area_plot_of_land,Number_of_Facades,Swimming_Pool,Lift,Municipality,Province
179000,8301,APARTMENT,APARTMENT,GOOD,1,48.0,0,0.0,0.0,0.0,2.0,0.0,1.0,Knokke-Heist,Other
259000,2490,APARTMENT,APARTMENT,GOOD,2,90.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Balen,Antwerp
199000,1050,APARTMENT,DUPLEX,TO_RENOVATE,1,61.0,0,1.0,0.0,0.0,2.0,0.0,0.0,Ixelles,Brussels Capital
349000,8400,HOUSE,HOUSE,GOOD,4,254.0,0,1.0,0.0,136.0,3.0,0.0,0.0,Oostende,Other
299000,1210,APARTMENT,APARTMENT,GOOD,2,84.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Saint-Josse-ten-Noode,Brussels Capital
185000,8400,APARTMENT,APARTMENT,AS_NEW,1,75.0,0,0.0,0.0,0.0,2.0,0.0,1.0,Oostende,Other
375000,4031,HOUSE,HOUSE,AS_NEW,2,127.0,0,0.0,0.0,0.0,3.0,0.0,0.0,Liège,Liège
219000,6032,HOUSE,HOUSE,GOOD,3,130.0,0,1.0,0.0,55.0,3.0,0.0,0.0,Charleroi,Hainaut
309000,1190,APARTMENT,APARTMENT,AS_NEW,2,95.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Forest,Brussels Capital
370000,8800,APARTMENT,APARTMENT,GOOD,3,130.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Roeselare,Other
100000,4000,APARTMENT,APARTMENT,GOOD,1,45.0,0,0.0,0.0,0.0,2.0,0.0,0.0,Liège,Liège
260000,2550,APARTMENT,APARTMENT,JUST_RENOVATED,2,70.0,0,0.0,0.0,0.0,2.0,0.0,1.0,Kontich,Antwerp
275000,5651,APARTMENT,APARTMENT,GOOD,3,150.0,0,1.0,0.0,0.0,3.0,0.0,1.0,Walcourt,Namur
560000,1330,APARTMENT,PENTHOUSE,AS_NEW,2,134.0,0,1.0,0.0,0.0,3.0,0.0,1.0,Rixensart,Walloon Brabant
340000,8370,APARTMENT,APARTMENT,GOOD,2,67.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Blankenberge,Other
235000,2610,APARTMENT,APARTMENT,AS_NEW,2,85.0,0,0.0,0.0,0.0,2.0,0.0,0.0,Antwerpen,Antwerp
274000,2820,APARTMENT,APARTMENT,GOOD,2,90.0,0,0.0,0.0,0.0,2.0,0.0,1.0,Bonheiden,Antwerp
460000,8300,HOUSE,HOUSE,TO_RENOVATE,2,69.0,0,0.0,0.0,90.0,4.0,0.0,0.0,Knokke-Heist,Other
350000,1000,APARTMENT,TRIPLEX,GOOD,3,100.0,0,0.0,0.0,0.0,2.0,0.0,0.0,Saint-Josse-ten-Noode,Brussels Capital
149000,8530,HOUSE,HOUSE,TO_RENOVATE,3,129.0,0,0.0,0.0,123.0,3.0,0.0,0.0,Harelbeke,Other
479000,8300,APARTMENT,APARTMENT,GOOD,2,72.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Knokke-Heist,Other
299000,2500,APARTMENT,APARTMENT,GOOD,2,100.0,0,1.0,0.0,0.0,2.0,0.0,0.0,Lier,Antwerp
224000,3520,APARTMENT,APARTMENT,GOOD,2,99.0,0,0.0,0.0,0.0,2.0,0.0,1.0,Zonhoven,Limburg
259000,9200,APARTMENT,SERVICE_FLAT,GOOD,1,57.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Dendermonde,East Flanders
178000,8710,HOUSE,HOUSE,TO_RENOVATE,2,136.0,0,1.0,0.0,311.0,3.0,0.0,0.0,Wielsbeke,Other
310000,2230,APARTMENT,GROUND_FLOOR,GOOD,3,126.0,0,1.0,0.0,0.0,3.0,0.0,1.0,Herselt,Antwerp
340000,9000,APARTMENT,APARTMENT,GOOD,2,72.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Gent,East Flanders
225000,1500,APARTMENT,APARTMENT,GOOD,2,89.0,0,0.0,0.0,0.0,2.0,0.0,1.0,Halle,Flemish Brabant
99000,4000,APARTMENT,FLAT_STUDIO,AS_NEW,1,31.0,0,0.0,0.0,0.0,2.0,0.0,1.0,Liège,Liège
215000,2930,APARTMENT,APARTMENT,TO_BE_DONE_UP,2,111.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Brasschaat,Antwerp
165000,7080,HOUSE,HOUSE,GOOD,2,147.0,0,1.0,0.0,190.0,4.0,0.0,0.0,Frameries,Hainaut
179000,9660,HOUSE,HOUSE,GOOD,2,160.0,0,0.0,0.0,90.0,2.0,0.0,0.0,Brakel,East Flanders
210000,5561,HOUSE,BUNGALOW,GOOD,3,115.0,0,1.0,0.0,240.0,4.0,0.0,0.0,Houyet,Namur
208000,8870,APARTMENT,APARTMENT,GOOD,2,87.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Izegem,Other
210000,2950,APARTMENT,GROUND_FLOOR,GOOD,1,57.0,0,0.0,0.0,0.0,2.0,0.0,1.0,Kapellen,Antwerp
349000,9230,HOUSE,HOUSE,GOOD,3,161.0,0,1.0,0.0,204.0,2.0,0.0,0.0,Wetteren,East Flanders
360000,1501,HOUSE,HOUSE,AS_NEW,3,130.0,0,1.0,0.0,336.0,3.0,0.0,0.0,Halle,Flemish Brabant
220000,8755,HOUSE,HOUSE,TO_RENOVATE,4,226.0,0,0.0,0.0,167.0,3.0,0.0,0.0,Ruiselede,Other
365000,8430,APARTMENT,APARTMENT,AS_NEW,2,70.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Middelkerke,Other
259000,2140,APARTMENT,APARTMENT,GOOD,2,70.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Antwerpen,Antwerp
425000,8500,APARTMENT,APARTMENT,AS_NEW,2,129.0,0,1.0,0.0,0.0,2.0,0.0,0.0,Kortrijk,Other
365000,2050,APARTMENT,APARTMENT,GOOD,2,95.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Antwerpen,Antwerp
425000,8370,APARTMENT,APARTMENT,GOOD,2,115.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Blankenberge,Other
265000,2600,APARTMENT,DUPLEX,GOOD,3,120.0,0,0.0,0.0,0.0,2.0,0.0,0.0,Antwerpen,Antwerp
259000,1020,APARTMENT,APARTMENT,GOOD,3,110.0,0,1.0,0.0,0.0,2.0,0.0,0.0,Bruxelles,Brussels Capital
405802,8490,HOUSE,HOUSE,GOOD,3,160.0,0,0.0,0.0,372.0,3.0,0.0,0.0,Jabbeke,Other
229000,2170,HOUSE,HOUSE,TO_RENOVATE,2,98.0,0,0.0,0.0,50.0,3.0,0.0,0.0,Antwerpen,Antwerp
491400,8830,HOUSE,HOUSE,GOOD,3,215.0,0,1.0,0.0,355.0,3.0,0.0,0.0,Hooglede,Other
265000,9880,HOUSE,HOUSE,TO_RENOVATE,3,133.0,0,0.0,0.0,506.0,4.0,0.0,0.0,Aalter,East Flanders
259000,1000,APARTMENT,APARTMENT,GOOD,1,80.0,0,0.0,0.0,0.0,2.0,0.0,1.0,Saint-Josse-ten-Noode,Brussels Capital
249500,2600,APARTMENT,APARTMENT,AS_NEW,2,85.0,0,1.0,0.0,0.0,4.0,0.0,1.0,Antwerpen,Antwerp
220000,1090,APARTMENT,APARTMENT,TO_BE_DONE_UP,3,94.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Jette,Brussels Capital
339000,2830,APARTMENT,APARTMENT,GOOD,3,112.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Willebroek,Antwerp
299000,2018,APARTMENT,APARTMENT,JUST_RENOVATED,1,72.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Antwerpen,Antwerp
245000,3120,HOUSE,HOUSE,AS_NEW,2,150.0,0,1.0,0.0,255.0,3.0,0.0,0.0,Tremelo,Flemish Brabant
145000,8540,APARTMENT,APARTMENT,TO_RENOVATE,2,85.0,0,0.0,0.0,0.0,2.0,0.0,1.0,Deerlijk,Other
309000,2150,APARTMENT,APARTMENT,AS_NEW,2,127.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Borsbeek,Antwerp
599000,2600,HOUSE,HOUSE,GOOD,3,188.0,0,1.0,0.0,73.0,3.0,0.0,0.0,Antwerpen,Antwerp
210000,8800,APARTMENT,APARTMENT,GOOD,2,83.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Roeselare,Other
379000,9550,HOUSE,HOUSE,GOOD,4,235.0,0,1.0,0.0,188.0,2.0,0.0,0.0,Herzele,East Flanders
329000,2930,APARTMENT,APARTMENT,GOOD,1,145.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Brasschaat,Antwerp
239000,1140,APARTMENT,DUPLEX,TO_BE_DONE_UP,2,97.0,0,1.0,0.0,0.0,2.0,0.0,0.0,Evere,Brussels Capital
429000,8620,APARTMENT,APARTMENT,GOOD,2,87.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Nieuwpoort,Other
329000,2830,HOUSE,HOUSE,GOOD,2,132.0,0,0.0,0.0,266.0,3.0,0.0,0.0,Willebroek,Antwerp
335000,8400,APARTMENT,APARTMENT,JUST_RENOVATED,3,104.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Oostende,Other
379000,8200,APARTMENT,APARTMENT,GOOD,3,105.0,0,0.0,0.0,0.0,2.0,0.0,1.0,Brugge,Other
187000,2800,APARTMENT,FLAT_STUDIO,AS_NEW,1,40.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Mechelen,Antwerp
250000,8610,HOUSE,HOUSE,GOOD,4,228.0,0,0.0,0.0,350.0,3.0,0.0,0.0,Kortemark,Other
249000,4000,HOUSE,HOUSE,GOOD,3,130.0,0,1.0,0.0,38.0,3.0,0.0,0.0,Liège,Liège
