Price,Locality,Type_of_Property,Subtype_of_Property,State_of_the_Building,Number_of_Rooms,Living_Area,Fully_Equipped_Kitchen,Terrace,Garden,Surface_area_plot_of_land,Number_of_Facades,Swimming_Pool,Lift
145000,5500,0,0,1,2,81.0,0,0.0,0.0,0.0,2.0,0.0,0.0
279000,8940,1,2,1,4,182.0,0,1.0,0.0,335.0,3.0,0.0,0.0
339000,2800,1,2,1,4,123.0,0,1.0,0.0,109.0,2.0,0.0,0.0
309600,8510,1,2,1,3,155.0,0,1.0,0.0,140.0,3.0,0.0,0.0
299000,2850,0,0,1,3,100.0,0,1.0,0.0,0.0,2.0,0.0,1.0
275000,1150,0,0,1,1,73.0,0,1.0,0.0,0.0,2.0,0.0,1.0
389000,8301,0,0,1,2,90.0,0,0.0,0.0,0.0,2.0,0.0,1.0
179645,8800,0,0,1,2,79.0,0,1.0,0.0,0.0,2.0,0.0,1.0
617000,9051,0,0,1,3,154.0,0,1.0,0.0,0.0,4.0,0.0,1.0
119000,8660,0,0,1,1,62.0,0,0.0,0.0,0.0,2.0,0.0,1.0
229000,2150,0,0,1,3,101.0,0,1.0,0.0,0.0,3.0,0.0,1.0
149000,9550,1,2,1,3,135.0,0,0.0,0.0,398.0,2.0,0.0,0.0
360000,9000,1,2,1,2,120.0,0,1.0,0.0,52.0,3.0,0.0,0.0
209000,6800,0,0,1,3,78.0,0,1.0,0.0,0.0,3.0,0.0,1.0
195000,1040,0,0,4,1,64.0,0,0.0,0.0,0.0,2.0,0.0,0.0
765000,8300,0,0,0,2,70.0,0,0.0,0.0,0.0,2.0,0.0,1.0
525000,6790,1,2,1,4,200.0,0,1.0,0.0,187.0,4.0,0.0,0.0
805000,1150,0,0,0,2,134.0,0,1.0,0.0,0.0,2.0,0.0,0.0
189000,9550,1,2,4,2,114.0,0,1.0,0.0,240.0,3.0,0.0,0.0
269000,9000,0,0,1,1,76.0,0,0.0,0.0,0.0,2.0,0.0,1.0
742000,2600,1,2,2,4,244.0,0,1.0,0.0,125.0,2.0,0.0,0.0
275000,9820,0,0,2,1,62.0,0,1.0,0.0,0.0,2.0,0.0,1.0
310000,8420,0,0,1,2,75.0,0,1.0,0.0,0.0,2.0,0.0,1.0
225000,9000,0,0,1,1,35.0,0,0.0,0.0,0.0,2.0,0.0,1.0
550000,2018,0,0,0,4,200.0,0,1.0,0.0,0.0,2.0,0.0,1.0
