Price,Locality,Type_of_Property,Subtype_of_Property,State_of_the_Building,Number_of_Rooms,Living_Area,Fully_Equipped_Kitchen,Terrace,Garden,Surface_area_plot_of_land,Number_of_Facades,Swimming_Pool,Lift,Municipality,Province,Region
299000,1000,APARTMENT,APARTMENT,AS_NEW,2,90.0,0,1.0,0.0,0.0,4.0,0.0,1.0,Saint-Josse-ten-Noode,Brussels Capital,Bruxelles-Capital
125000,9900,HOUSE,HOUSE,TO_RENOVATE,2,91.0,0,1.0,0.0,115.0,3.0,0.0,0.0,Eeklo,East Flanders,Flanders
209000,2850,APARTMENT,APARTMENT,GOOD,2,75.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Boom,Antwerp,Flanders
439000,1080,APARTMENT,APARTMENT,AS_NEW,2,140.0,0,1.0,1.0,0.0,2.0,0.0,0.0,Molenbeek-Saint-Jean,Brussels Capital,Bruxelles-Capital
504000,3110,HOUSE,HOUSE,GOOD,4,178.0,0,0.0,1.0,590.0,3.0,0.0,0.0,Rotselaar,Flemish Brabant,Flanders
339000,3740,HOUSE,HOUSE,GOOD,4,208.0,0,0.0,0.0,699.0,3.0,0.0,0.0,Bilzen,Limburg,Wallonia
325000,1020,APARTMENT,APARTMENT,AS_NEW,2,102.0,1,1.0,0.0,0.0,2.0,0.0,1.0,Bruxelles,Brussels Capital,Bruxelles-Capital
164999,9200,APARTMENT,APARTMENT,GOOD,2,70.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Dendermonde,East Flanders,Flanders
365000,1731,APARTMENT,APARTMENT,AS_NEW,3,127.0,1,1.0,0.0,0.0,2.0,0.0,1.0,Asse,Flemish Brabant,Flanders
149000,4480,HOUSE,HOUSE,GOOD,3,170.0,0,1.0,1.0,396.0,3.0,0.0,0.0,Engis,Liège,Wallonia
339000,1080,APARTMENT,PENTHOUSE,TO_BE_DONE_UP,2,100.0,1,1.0,0.0,0.0,2.0,0.0,1.0,Molenbeek-Saint-Jean,Brussels Capital,Bruxelles-Capital
229000,9220,HOUSE,HOUSE,GOOD,4,165.0,0,1.0,1.0,212.0,2.0,0.0,0.0,Hamme,East Flanders,Flanders
595000,8500,HOUSE,HOUSE,AS_NEW,4,211.0,0,0.0,0.0,236.0,3.0,0.0,0.0,Kortrijk,Other,Other
439000,9220,HOUSE,HOUSE,AS_NEW,4,191.0,0,0.0,1.0,226.0,2.0,0.0,0.0,Hamme,East Flanders,Flanders
290000,2020,HOUSE,HOUSE,TO_BE_DONE_UP,3,180.0,0,1.0,0.0,164.0,3.0,0.0,0.0,Antwerpen,Antwerp,Flanders
495000,9000,HOUSE,HOUSE,GOOD,3,144.0,0,1.0,1.0,172.0,3.0,0.0,0.0,Gent,East Flanders,Flanders
399000,8400,HOUSE,TOWN_HOUSE,AS_NEW,3,168.0,0,1.0,1.0,246.0,2.0,0.0,0.0,Oostende,Other,Other
496000,1130,HOUSE,HOUSE,AS_NEW,4,158.0,1,1.0,0.0,0.0,2.0,0.0,0.0,Bruxelles,Brussels Capital,Bruxelles-Capital
220000,1060,APARTMENT,APARTMENT,GOOD,2,98.0,0,0.0,0.0,0.0,2.0,0.0,0.0,Saint-Gilles,Brussels Capital,Bruxelles-Capital
320000,1140,APARTMENT,APARTMENT,GOOD,3,110.0,1,1.0,0.0,0.0,4.0,0.0,1.0,Evere,Brussels Capital,Bruxelles-Capital
235000,9051,APARTMENT,GROUND_FLOOR,AS_NEW,1,57.0,1,1.0,0.0,0.0,2.0,0.0,1.0,Gent,East Flanders,Flanders
245000,2300,APARTMENT,APARTMENT,AS_NEW,2,83.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Turnhout,Antwerp,Flanders
235000,8450,HOUSE,HOUSE,GOOD,3,120.0,0,0.0,0.0,269.0,3.0,0.0,0.0,Bredene,Other,Other
275000,1790,HOUSE,HOUSE,TO_BE_DONE_UP,3,120.0,0,1.0,1.0,220.0,2.0,0.0,0.0,Affligem,Flemish Brabant,Flanders
299000,9150,APARTMENT,APARTMENT,GOOD,2,91.0,1,1.0,0.0,0.0,2.0,0.0,1.0,Kruibeke,East Flanders,Flanders
170000,1080,APARTMENT,APARTMENT,GOOD,1,70.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Molenbeek-Saint-Jean,Brussels Capital,Bruxelles-Capital
349000,9890,HOUSE,MIXED_USE_BUILDING,GOOD,3,234.0,0,0.0,0.0,200.0,2.0,0.0,0.0,Gavere,East Flanders,Flanders
196000,8610,HOUSE,HOUSE,TO_BE_DONE_UP,4,181.0,0,1.0,0.0,491.0,3.0,0.0,0.0,Kortemark,Other,Other
249000,8790,HOUSE,HOUSE,GOOD,3,278.0,1,0.0,0.0,133.0,2.0,0.0,0.0,Waregem,Other,Other
310000,8560,HOUSE,HOUSE,GOOD,3,104.0,1,0.0,0.0,270.0,3.0,0.0,0.0,Wevelgem,Other,Other
248500,8670,HOUSE,HOUSE,AS_NEW,2,85.0,0,1.0,1.0,106.0,3.0,0.0,0.0,Koksijde,Other,Other
399000,4122,HOUSE,HOUSE,JUST_RENOVATED,4,220.0,0,1.0,1.0,770.0,4.0,0.0,0.0,Neupré,Liège,Wallonia
499000,1000,HOUSE,MIXED_USE_BUILDING,TO_RENOVATE,2,235.0,0,0.0,0.0,5.0,2.0,0.0,0.0,Saint-Josse-ten-Noode,Brussels Capital,Bruxelles-Capital
748000,3210,APARTMENT,PENTHOUSE,GOOD,3,116.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Lubbeek,Flemish Brabant,Flanders
345000,1140,APARTMENT,APARTMENT,AS_NEW,1,74.0,1,1.0,0.0,0.0,2.0,0.0,1.0,Evere,Brussels Capital,Bruxelles-Capital
180000,1502,HOUSE,HOUSE,TO_RESTORE,3,120.0,0,0.0,0.0,90.0,2.0,0.0,0.0,Halle,Flemish Brabant,Flanders
235000,8700,HOUSE,HOUSE,GOOD,2,111.0,0,1.0,0.0,123.0,3.0,0.0,0.0,Tielt,Other,Other
209000,2300,APARTMENT,APARTMENT,GOOD,2,102.0,0,0.0,0.0,0.0,2.0,0.0,1.0,Turnhout,Antwerp,Flanders
330000,1200,APARTMENT,APARTMENT,AS_NEW,1,85.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Woluwe-Saint-Lambert,Brussels Capital,Bruxelles-Capital
230000,4000,APARTMENT,APARTMENT,TO_RENOVATE,2,104.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Liège,Liège,Wallonia
445000,1200,APARTMENT,APARTMENT,TO_BE_DONE_UP,4,137.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Woluwe-Saint-Lambert,Brussels Capital,Bruxelles-Capital
299000,9260,HOUSE,BUNGALOW,JUST_RENOVATED,3,133.0,0,1.0,0.0,226.0,2.0,0.0,0.0,Wichelen,East Flanders,Flanders
449000,2050,APARTMENT,APARTMENT,GOOD,3,142.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Antwerpen,Antwerp,Flanders
385000,9600,HOUSE,HOUSE,AS_NEW,3,160.0,0,1.0,1.0,175.0,2.0,0.0,0.0,Renaix,East Flanders,Flanders
268000,9170,HOUSE,HOUSE,GOOD,2,111.0,0,1.0,0.0,0.0,2.0,0.0,0.0,Sint-Gillis-Waas,East Flanders,Flanders
200000,6700,APARTMENT,APARTMENT,GOOD,2,127.0,0,1.0,1.0,0.0,4.0,0.0,0.0,Arlon,Luxembourg,Wallonia
259000,1670,HOUSE,HOUSE,GOOD,4,210.0,0,1.0,0.0,245.0,2.0,0.0,0.0,Pepingen,Flemish Brabant,Flanders
325000,2050,APARTMENT,APARTMENT,GOOD,2,86.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Antwerpen,Antwerp,Flanders
215000,1080,APARTMENT,APARTMENT,TO_BE_DONE_UP,2,75.0,0,0.0,0.0,0.0,2.0,0.0,1.0,Molenbeek-Saint-Jean,Brussels Capital,Bruxelles-Capital
469000,1190,APARTMENT,DUPLEX,JUST_RENOVATED,1,85.0,1,0.0,0.0,0.0,2.0,0.0,0.0,Forest,Brussels Capital,Bruxelles-Capital
274750,2861,APARTMENT,GROUND_FLOOR,GOOD,1,75.0,0,1.0,1.0,0.0,3.0,0.0,1.0,Sint-Katelijne-Waver,Antwerp,Flanders
795000,8300,HOUSE,HOUSE,GOOD,2,119.0,0,1.0,0.0,154.0,2.0,0.0,0.0,Knokke-Heist,Other,Other
245000,4100,HOUSE,HOUSE,GOOD,3,140.0,1,1.0,1.0,280.0,2.0,0.0,0.0,Seraing,Liège,Wallonia
230000,7800,HOUSE,MANSION,JUST_RENOVATED,2,105.0,0,0.0,0.0,0.0,2.0,0.0,0.0,Ath,Hainaut,Wallonia
295000,8810,APARTMENT,SERVICE_FLAT,GOOD,2,99.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Lichtervelde,Other,Other
285000,1400,HOUSE,HOUSE,TO_BE_DONE_UP,3,142.0,0,1.0,0.0,270.0,2.0,0.0,0.0,Nivelles,Walloon Brabant,Wallonia
209000,4020,HOUSE,HOUSE,GOOD,3,146.0,0,0.0,0.0,118.0,2.0,0.0,0.0,Liège,Liège,Wallonia
299000,2627,HOUSE,HOUSE,GOOD,3,112.0,1,1.0,0.0,0.0,2.0,0.0,0.0,Schelle,Antwerp,Flanders
319500,9200,APARTMENT,SERVICE_FLAT,JUST_RENOVATED,2,67.0,0,0.0,0.0,0.0,2.0,0.0,1.0,Dendermonde,East Flanders,Flanders
229000,4000,APARTMENT,PENTHOUSE,GOOD,1,85.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Liège,Liège,Wallonia
339000,9090,APARTMENT,APARTMENT,AS_NEW,2,92.0,0,1.0,0.0,0.0,3.0,0.0,0.0,Melle,East Flanders,Flanders
239500,8000,APARTMENT,SERVICE_FLAT,GOOD,1,54.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Brugge,Other,Other
250000,1200,APARTMENT,APARTMENT,AS_NEW,1,56.0,0,0.0,0.0,0.0,2.0,0.0,0.0,Woluwe-Saint-Lambert,Brussels Capital,Bruxelles-Capital
599000,2100,HOUSE,APARTMENT_BLOCK,JUST_RENOVATED,3,240.0,0,1.0,0.0,357.0,2.0,0.0,0.0,Antwerpen,Antwerp,Flanders
335000,2180,HOUSE,TOWN_HOUSE,GOOD,3,144.0,0,1.0,1.0,174.0,2.0,0.0,0.0,Antwerpen,Antwerp,Flanders
450000,2018,APARTMENT,DUPLEX,AS_NEW,2,90.0,0,1.0,0.0,0.0,2.0,0.0,0.0,Antwerpen,Antwerp,Flanders
535000,1120,HOUSE,APARTMENT_BLOCK,AS_NEW,1,283.0,0,1.0,1.0,230.0,2.0,0.0,0.0,Bruxelles,Brussels Capital,Bruxelles-Capital
390000,6700,APARTMENT,DUPLEX,GOOD,2,115.0,0,1.0,1.0,0.0,2.0,0.0,0.0,Arlon,Luxembourg,Wallonia
158500,9140,APARTMENT,APARTMENT,GOOD,1,67.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Temse,East Flanders,Flanders
165000,9100,APARTMENT,APARTMENT,GOOD,1,58.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Sint-Niklaas,East Flanders,Flanders
465000,8610,HOUSE,VILLA,GOOD,4,269.0,0,1.0,0.0,566.0,4.0,0.0,0.0,Kortemark,Other,Other
269000,8660,APARTMENT,APARTMENT,GOOD,2,72.0,0,1.0,0.0,0.0,2.0,0.0,1.0,De Panne,Other,Other
259000,8530,APARTMENT,APARTMENT,GOOD,3,111.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Harelbeke,Other,Other
268000,3920,HOUSE,HOUSE,TO_BE_DONE_UP,3,179.0,0,0.0,0.0,527.0,3.0,0.0,0.0,Lommel,Limburg,Wallonia
269500,9620,APARTMENT,APARTMENT,GOOD,1,82.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Zottegem,East Flanders,Flanders
435000,3500,HOUSE,HOUSE,AS_NEW,4,189.0,1,1.0,0.0,150.0,2.0,0.0,0.0,Hasselt,Limburg,Wallonia
400000,1050,APARTMENT,APARTMENT,AS_NEW,1,72.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Ixelles,Brussels Capital,Bruxelles-Capital
440000,8400,APARTMENT,APARTMENT,AS_NEW,3,94.0,0,1.0,0.0,0.0,3.0,0.0,1.0,Oostende,Other,Other
419000,3500,APARTMENT,APARTMENT,GOOD,2,98.0,1,1.0,0.0,0.0,2.0,0.0,1.0,Hasselt,Limburg,Wallonia
175000,3300,HOUSE,HOUSE,TO_RENOVATE,4,171.0,0,0.0,1.0,231.0,2.0,0.0,0.0,Tienen,Other,Other
249000,2240,APARTMENT,APARTMENT,GOOD,1,72.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Zandhoven,Antwerp,Flanders
199000,2100,APARTMENT,GROUND_FLOOR,JUST_RENOVATED,1,52.0,0,1.0,0.0,0.0,3.0,0.0,1.0,Antwerpen,Antwerp,Flanders
358000,8700,HOUSE,HOUSE,AS_NEW,3,128.0,0,0.0,1.0,277.0,3.0,0.0,0.0,Tielt,Other,Other
160000,4020,APARTMENT,APARTMENT,GOOD,2,88.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Liège,Liège,Wallonia
374000,8310,HOUSE,HOUSE,TO_RENOVATE,4,201.0,0,1.0,1.0,410.0,2.0,0.0,0.0,Brugge,Other,Other
99900,4040,APARTMENT,APARTMENT,GOOD,1,60.0,0,1.0,0.0,0.0,2.0,0.0,0.0,Herstal,Liège,Wallonia
525000,1180,HOUSE,HOUSE,AS_NEW,3,139.0,1,1.0,1.0,149.0,2.0,0.0,0.0,Uccle,Brussels Capital,Bruxelles-Capital
249000,2500,APARTMENT,APARTMENT,AS_NEW,1,85.0,1,1.0,0.0,0.0,2.0,0.0,0.0,Lier,Antwerp,Flanders
499000,9890,HOUSE,HOUSE,AS_NEW,3,215.0,0,1.0,0.0,284.0,3.0,0.0,0.0,Gavere,East Flanders,Flanders
199000,1070,APARTMENT,APARTMENT,AS_NEW,2,80.0,0,0.0,0.0,0.0,2.0,0.0,0.0,Anderlecht,Brussels Capital,Bruxelles-Capital
349000,1070,APARTMENT,APARTMENT,GOOD,3,160.0,1,1.0,0.0,0.0,2.0,0.0,1.0,Anderlecht,Brussels Capital,Bruxelles-Capital
234000,9800,APARTMENT,APARTMENT,GOOD,1,70.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Deinze,East Flanders,Flanders
