Price,Locality,Type_of_Property,Subtype_of_Property,State_of_the_Building,Number_of_Rooms,Living_Area,Fully_Equipped_Kitchen,Terrace,Garden,Surface_area_plot_of_land,Number_of_Facades,Swimming_Pool,Lift
175000,4020,APARTMENT,APARTMENT,TO_BE_DONE_UP,2,90.0,0,1.0,0.0,0.0,2.0,0.0,1.0
250000,1020,APARTMENT,APARTMENT,TO_BE_DONE_UP,2,110.0,0,1.0,0.0,0.0,2.0,0.0,1.0
317500,9660,HOUSE,HOUSE,GOOD,4,220.0,0,1.0,0.0,319.0,2.0,0.0,0.0
245000,5300,APARTMENT,GROUND_FLOOR,GOOD,2,91.0,0,0.0,0.0,0.0,4.0,0.0,1.0
299000,9170,HOUSE,HOUSE,TO_BE_DONE_UP,3,165.0,0,1.0,0.0,502.0,3.0,0.0,0.0
219000,2160,APARTMENT,APARTMENT,JUST_RENOVATED,2,79.0,0,1.0,0.0,0.0,2.0,0.0,1.0
252000,9800,APARTMENT,APARTMENT,GOOD,1,82.0,0,1.0,0.0,0.0,2.0,0.0,1.0
82500,8420,APARTMENT,APARTMENT,AS_NEW,1,32.0,0,0.0,0.0,0.0,2.0,0.0,1.0
189000,7780,HOUSE,HOUSE,GOOD,3,132.0,0,0.0,0.0,340.0,2.0,0.0,0.0
249000,4430,APARTMENT,APARTMENT,GOOD,2,115.0,0,1.0,0.0,0.0,2.0,0.0,1.0
185000,1050,APARTMENT,APARTMENT,TO_RENOVATE,1,38.0,0,0.0,0.0,0.0,2.0,0.0,1.0
325000,8400,HOUSE,TOWN_HOUSE,GOOD,3,210.0,0,0.0,0.0,227.0,2.0,0.0,0.0
170000,2020,APARTMENT,APARTMENT,AS_NEW,2,85.0,0,1.0,0.0,0.0,2.0,0.0,1.0
209000,2830,APARTMENT,APARTMENT,TO_BE_DONE_UP,3,124.0,0,0.0,0.0,0.0,2.0,0.0,1.0
169000,8450,APARTMENT,APARTMENT,AS_NEW,1,55.0,0,0.0,0.0,0.0,2.0,0.0,0.0
299000,3010,HOUSE,HOUSE,TO_RENOVATE,3,204.0,0,1.0,0.0,193.0,3.0,0.0,0.0
309000,2100,HOUSE,HOUSE,GOOD,3,132.0,0,0.0,0.0,54.0,3.0,0.0,0.0
225000,9100,HOUSE,HOUSE,TO_RENOVATE,3,161.0,0,0.0,0.0,210.0,3.0,0.0,0.0
279000,1020,APARTMENT,DUPLEX,GOOD,3,101.0,0,0.0,0.0,0.0,2.0,0.0,0.0
274505,8792,APARTMENT,APARTMENT,GOOD,2,95.0,0,1.0,0.0,0.0,2.0,0.0,1.0
265000,2600,APARTMENT,APARTMENT,GOOD,2,89.0,0,1.0,0.0,0.0,2.0,0.0,1.0
59000,6000,APARTMENT,APARTMENT,TO_RENOVATE,1,47.0,0,0.0,0.0,0.0,2.0,0.0,1.0
169000,6890,HOUSE,HOUSE,TO_RENOVATE,3,145.0,0,0.0,0.0,364.0,2.0,0.0,0.0
155000,8800,HOUSE,HOUSE,GOOD,2,119.0,0,1.0,0.0,131.0,2.0,0.0,0.0
185000,2140,APARTMENT,APARTMENT,GOOD,3,98.0,0,1.0,0.0,0.0,3.0,0.0,1.0
398500,2610,APARTMENT,APARTMENT,AS_NEW,2,134.0,0,1.0,0.0,0.0,2.0,0.0,0.0
