Price,Locality,Type_of_Property,Subtype_of_Property,State_of_the_Building,Number_of_Rooms,Living_Area,Fully_Equipped_Kitchen,Terrace,Garden,Surface_area_plot_of_land,Number_of_Facades,Swimming_Pool,Lift,Municipality,Province,Region,Property_Size
185000,6747,HOUSE,HOUSE,TO_BE_DONE_UP,2,283.0,0,1.0,1.0,450.0,2.0,0.0,0.0,Saint-Léger,Luxembourg,Wallonia,Very Large
159000,8610,APARTMENT,APARTMENT,GOOD,2,80.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Kortemark,West Flanders,Flanders,Medium
265000,3300,APARTMENT,APARTMENT,JUST_RENOVATED,2,89.0,0,0.0,0.0,0.0,3.0,0.0,1.0,Tienen,Flemish Brabant,Flanders,Medium
272000,2018,APARTMENT,APARTMENT,GOOD,3,115.0,0,0.0,0.0,0.0,2.0,0.0,1.0,Antwerpen,Antwerp,Flanders,Large
279000,8000,APARTMENT,APARTMENT,GOOD,2,101.0,0,0.0,0.0,0.0,2.0,0.0,1.0,Brugge,West Flanders,Flanders,Large
610000,1180,APARTMENT,GROUND_FLOOR,AS_NEW,2,143.0,1,1.0,1.0,0.0,2.0,0.0,1.0,Uccle,Brussels Capital,Bruxelles-Capital,Large
285000,3010,HOUSE,HOUSE,TO_RENOVATE,2,112.0,0,0.0,0.0,0.0,2.0,0.0,0.0,Leuven,Flemish Brabant,Flanders,Large
367000,9032,APARTMENT,APARTMENT,GOOD,2,94.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Gent,East Flanders,Flanders,Medium
360000,1500,HOUSE,HOUSE,AS_NEW,3,130.0,0,1.0,0.0,336.0,3.0,0.0,0.0,Halle,Flemish Brabant,Flanders,Large
349000,3740,APARTMENT,APARTMENT,GOOD,2,90.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Bilzen,Limburg,Wallonia,Medium
485000,1050,APARTMENT,APARTMENT,AS_NEW,2,78.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Ixelles,Brussels Capital,Bruxelles-Capital,Medium
315000,4651,HOUSE,HOUSE,GOOD,3,180.0,0,1.0,1.0,180.0,3.0,0.0,0.0,Herve,Liège,Wallonia,Large
385000,2200,APARTMENT,PENTHOUSE,GOOD,2,109.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Herentals,Antwerp,Flanders,Large
345000,1050,APARTMENT,APARTMENT,TO_RENOVATE,3,113.0,0,0.0,0.0,0.0,2.0,0.0,1.0,Ixelles,Brussels Capital,Bruxelles-Capital,Large
857000,8300,APARTMENT,APARTMENT,GOOD,3,99.0,0,0.0,0.0,0.0,2.0,0.0,1.0,Knokke-Heist,West Flanders,Flanders,Medium
175000,2140,APARTMENT,APARTMENT,TO_BE_DONE_UP,2,99.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Antwerpen,Antwerp,Flanders,Medium
229000,1000,APARTMENT,APARTMENT,GOOD,1,39.0,0,0.0,0.0,0.0,2.0,0.0,1.0,Saint-Josse-ten-Noode,Brussels Capital,Bruxelles-Capital,Small
299000,2590,HOUSE,HOUSE,JUST_RENOVATED,2,62.0,0,1.0,0.0,0.0,3.0,0.0,0.0,Berlaar,Antwerp,Flanders,Medium
467500,2400,HOUSE,HOUSE,GOOD,4,195.0,0,0.0,0.0,430.0,4.0,0.0,0.0,Dessel,Antwerp,Flanders,Large
325000,2100,APARTMENT,APARTMENT,JUST_RENOVATED,2,93.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Antwerpen,Antwerp,Flanders,Medium
210000,1853,APARTMENT,APARTMENT,GOOD,2,87.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Grimbergen,Flemish Brabant,Flanders,Medium
353000,2920,APARTMENT,APARTMENT,GOOD,2,102.0,0,1.0,0.0,0.0,3.0,0.0,1.0,Kalmthout,Antwerp,Flanders,Large
